vacancy_id,resume_id,selection_bucket,auto_score,skill_overlap,text_overlap,exp_score,meta_score,vacancy_title,resume_title,last_position,vacancy_required_skills,resume_skills
V00001,R00059,borderline,0.161403,0.0,0.021611,0.9,0.14,Software Developer - .Net,"C/C++ Developer, Python Developer",Mathematical Software,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,
V00001,R00010,borderline,0.158162,0.142857,0.075506,0.4,0.1,Software Developer - .Net,Defined architecture of new IOS Apps and developed them broadly from engineering and,with QA on implementing automation testing,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Web API
V00001,R00046,borderline,0.157528,0.142857,0.072968,0.4,0.1,Software Developer - .Net,"My name is Maria, Im a new repatriate from Russia, made an Aliyah in April. I work as a senior system",September 2019 Senior Team Manager,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,MS SQL
V00001,R00031,borderline,0.157209,0.0,0.034836,0.85,0.14,Software Developer - .Net,Front End Developer,Front End Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,
V00001,R00033,borderline,0.15392,0.1375,0.068182,0.4,0.1,Software Developer - .Net,Experienced Python Developer LinkedIn: fedor-ezeev,Looking for a job as a Server Side Python Developer or Backend Python Programming languages:,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,MS SQL;PostgreSQL
V00001,R00038,borderline,0.1535,0.0,0.05,0.8,0.14,Software Developer - .Net,Backend Developer,Golang Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Docker;Kafka;MongoDB;PostgreSQL
V00001,R00028,random_negative,0.149232,0.1375,0.04943,0.4,0.1,Software Developer - .Net,PHP/NodeJS full-stack developer. BA in Ariel University in,Full-stack Developer Sep 2019,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,MongoDB;jQuery
V00001,R00016,random_negative,0.146484,0.133333,0.045936,0.4,0.1,Software Developer - .Net,Software Developer / Linux Kernel Developer / Database developer,Linux Kernel Developer / Senior Linux Kernel Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Docker;PostgreSQL;jQuery
V00001,R00050,random_negative,0.146472,0.133333,0.045889,0.4,0.1,Software Developer - .Net,Web Developer,"Web-developer at Digital Dream LLC, Ulyanovsk",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Docker;PostgreSQL;jQuery
V00001,R00022,random_negative,0.087939,0.0,0.051756,0.4,0.1,Software Developer - .Net,Frontend Developer/ Full stack Developer,"Gold ventures investment Israel, Java software developer",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,MongoDB;PostgreSQL
V00001,R00013,random_negative,0.087327,0.0,0.04931,0.4,0.1,Software Developer - .Net,Full-Stack Developer,WORK Tanndu Full Stack Developer ( now),.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,AWS;Docker;MongoDB;PostgreSQL
V00001,R00053,random_negative,0.081109,0.0,0.024436,0.4,0.1,Software Developer - .Net,"Embedded Linux Engineer, 23 y.o. nazaryev.ru",2019 Embedded Linux Platform Engineer @ Cogent Embedded,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Docker
V00001,R00048,top,0.680265,0.84,0.045061,1.0,0.94,Software Developer - .Net,"Senior .Net developer with 10+ years experience in architecture analysis, software design and",Frameworks Databases DevOps,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;ASP.NET;AWS;Azure;C#;Docker;Entity Framework;Kafka;MS SQL;MongoDB;PostgreSQL;WPF;Web API;WinForms;jQuery
V00001,R00018,top,0.563179,0.78,0.068716,0.4,0.9,Software Developer - .Net,", Senior .NET Engineer, ""","Full Stack Engineer, , Jerusalem, Israel",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;ASP.NET;AWS;Azure;C#;Entity Framework;MS SQL;MongoDB;Web API
V00001,R00006,top,0.534479,0.714286,0.078203,0.8,0.49,Software Developer - .Net,Senior solution architect with wide experience of creating and maintaining IT systems. Deep knowledge of,"C#, JavaScript, SQL, PHP and many other technologies; 10+ experience in Microsoft technologies. I've",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;ASP.NET;C#;MS SQL;jQuery
V00001,R00063,top,0.43669,0.55,0.072758,1.0,0.14,Software Developer - .Net,FRONTEND DEVELOPER,"Programming language: JavaScript, Python, Java, C#, .NET.",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;C#;MongoDB;Web API;jQuery
V00001,R00056,top,0.410841,0.381818,0.062092,1.0,0.49,Software Developer - .Net,LEONID SHALAEV FULL STACK DEVELOPER with 1+ year experience,"Programming languages: Java, JavaScript, TypeScript, C#, C++, PHP, Pascal, Assembler, VBA",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,C#;Docker;Kafka;MongoDB;PostgreSQL;Web API;jQuery
V00001,R00065,top,0.368531,0.285714,0.065836,1.0,0.49,Software Developer - .Net,Frontend developer,"Programming languages: JavaScript ES6+, familiar with Java, C#, C++/C.",.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,ASP.NET;C#
V00001,R00054,top,0.359229,0.275,0.047917,1.0,0.49,Software Developer - .Net,QA Automation Engineer,A QA Automation Engineer Master degree of Computer Arcadia inc.,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Azure;C#;MS SQL
V00001,R00042,top,0.323777,0.39,0.083106,0.4,0.45,Software Developer - .Net,Junior Java backend developer,Engineer Ural State University of Economics,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;AWS;C#;Docker;Entity Framework;WPF
V00002,R00062,borderline,0.136393,0.0,0.065574,0.7,0.1,Remote Software Developer,NETWORK ENGINEER,Network Engineer,PostgreSQL,
V00002,R00065,borderline,0.136018,0.0,0.064073,0.7,0.1,Remote Software Developer,Frontend developer,"Programming languages: JavaScript ES6+, familiar with Java, C#, C++/C.",PostgreSQL,ASP.NET;C#
V00002,R00032,borderline,0.135982,0.0,0.063927,0.7,0.1,Remote Software Developer,"I'm a business analyst with 6,5 years of experience in the software industry and 4,5 years",(Moscow Engineering Physics Institute),PostgreSQL,Web API
V00002,R00063,borderline,0.135393,0.0,0.061571,0.7,0.1,Remote Software Developer,FRONTEND DEVELOPER,"Programming language: JavaScript, Python, Java, C#, .NET.",PostgreSQL,.NET;C#;MongoDB;Web API;jQuery
V00002,R00023,borderline,0.135222,0.0,0.06089,0.7,0.1,Remote Software Developer,5 years of total experience in development web frontend (70%) and development Java backend (30%).,"Software Architecture: OOP, JSON, Design Patterns, Microservices, Dependency Injection.",PostgreSQL,Kafka;MongoDB;jQuery
V00002,R00001,borderline,0.13506,0.0,0.060241,0.7,0.1,Remote Software Developer,Java full stack developer,"2020 - now: Backend JAVA developer, (Israel, Rehovot)",PostgreSQL,MongoDB;jQuery
V00002,R00054,random_negative,0.129129,0.0,0.036517,0.7,0.1,Remote Software Developer,QA Automation Engineer,A QA Automation Engineer Master degree of Computer Arcadia inc.,PostgreSQL,Azure;C#;MS SQL
V00002,R00059,random_negative,0.128713,0.0,0.034853,0.7,0.1,Remote Software Developer,"C/C++ Developer, Python Developer",Mathematical Software,PostgreSQL,
V00002,R00043,random_negative,0.127124,0.0,0.028497,0.7,0.1,Remote Software Developer,ANALYTICS LEAD,Competitve Analytics Team Lead,PostgreSQL,Kafka
V00002,R00052,random_negative,0.12646,0.0,0.02584,0.7,0.1,Remote Software Developer,Dependable Game Developer with more than 11 years of experience. nmail.com,Stated developer carrier as AS 3 developer and after 4 years switched to,PostgreSQL,C#;WPF
V00002,R00014,random_negative,0.100321,0.0,0.041284,0.5,0.1,Remote Software Developer,"developer, namely studying interaction of HTML, CSS and JavaScript.","developer, namely studying interaction of HTML, CSS and JavaScript.",PostgreSQL,MS SQL
V00002,R00024,random_negative,0.097746,0.0,0.030986,0.5,0.1,Remote Software Developer,FRONT END DEVELOPER,Front End Developer,PostgreSQL,Web API
V00002,R00005,top,0.566671,0.85,0.046683,0.7,0.45,Remote Software Developer,Front-end Developer,• Worked with team of developers to resolve front-end and CSS issues,PostgreSQL,PostgreSQL;jQuery
V00002,R00009,top,0.547894,0.8,0.061576,0.7,0.45,Remote Software Developer,"Frontend developer with extensive experience designing, developing, implementing, and","maintaining software used in sales, rental apartments, e-commerce, and human resources.",PostgreSQL,Docker;PostgreSQL;jQuery
V00002,R00040,top,0.539037,0.85,0.05615,0.5,0.45,Remote Software Developer,"Experience in the full cycle of creating web applications: architecture, server, code,","Experience in the full cycle of creating web applications: architecture, server, code,",PostgreSQL,Docker;PostgreSQL
V00002,R00050,top,0.519296,0.8,0.067183,0.5,0.45,Remote Software Developer,Web Developer,"Web-developer at Digital Dream LLC, Ulyanovsk",PostgreSQL,Docker;PostgreSQL;jQuery
V00002,R00016,top,0.518161,0.8,0.062645,0.5,0.45,Remote Software Developer,Software Developer / Linux Kernel Developer / Database developer,Linux Kernel Developer / Senior Linux Kernel Developer,PostgreSQL,Docker;PostgreSQL;jQuery
V00002,R00013,top,0.503783,0.775,0.050132,0.5,0.45,Remote Software Developer,Full-Stack Developer,WORK Tanndu Full Stack Developer ( now),PostgreSQL,AWS;Docker;MongoDB;PostgreSQL
V00002,R00027,top,0.503182,0.775,0.047727,0.5,0.45,Remote Software Developer,"2022, February Senior Software Developer (Python)","2022, February Senior Software Developer (Python)",PostgreSQL,Docker;Kafka;MongoDB;PostgreSQL
